%    Buenos Aires, Argentina station ID   87585000
%T	VER	NOAA NCDC GHCN v2 adjusted mean temp
%months since 1960-01-01	unitless	Celsius_scale
   -1166.500	           0	    14.20000
   -1165.500	           0	    17.90000
   -1164.500	           0	    20.90000
   -1163.500	           0	    21.50000
   -1162.500	           0	    22.60000
   -1161.500	           0	    18.90000
   -1160.500	           0	    16.30000
   -1159.500	           0	    12.40000
   -1158.500	           0	    11.40000
   -1157.500	           0	     9.60000
   -1156.500	           0	    11.60000
   -1155.500	           0	    12.10000
   -1154.500	           0	    15.00000
   -1153.500	           0	    19.30000
   -1152.500	           0	    22.20000
   -1151.500	           0	    22.50000
   -1150.500	           0	    23.40000
   -1149.500	           0	    22.80000
   -1148.500	           0	    17.20000
   -1147.500	           0	    14.80000
   -1146.500	           0	    11.30000
   -1145.500	           0	     9.60000
   -1144.500	           0	    10.10000
   -1143.500	           0	    12.20000
   -1142.500	           0	    16.20000
   -1141.500	           0	    19.40000
   -1140.500	           0	    22.00000
   -1139.500	           0	    22.00000
   -1138.500	           0	    23.20000
   -1137.500	           0	    21.40000
   -1136.500	           0	    17.70000
   -1135.500	           0	    13.50000
   -1134.500	           0	    14.20000
   -1133.500	           0	    11.40000
   -1132.500	           0	    11.30000
   -1131.500	           0	    13.60000
   -1130.500	           0	    18.10000
   -1129.500	           0	    20.20000
   -1128.500	           0	    23.40000
   -1127.500	           0	    23.50000
   -1126.500	           0	    22.50000
   -1125.500	           0	    23.50000
   -1124.500	           0	    17.40000
   -1123.500	           0	    15.20000
   -1122.500	           0	    10.30000
   -1121.500	           0	    11.40000
   -1120.500	           0	    11.40000
   -1119.500	           0	    14.20000
   -1118.500	           0	    15.70000
   -1117.500	           0	    17.90000
   -1116.500	           0	    21.50000
   -1115.500	           0	    23.20000
   -1114.500	           0	    22.10000
   -1113.500	           0	    20.50000
   -1112.500	           0	    14.60000
   -1111.500	           0	    14.80000
   -1110.500	           0	    10.50000
   -1109.500	           0	     9.90000
   -1108.500	           0	    12.10000
   -1107.500	           0	    13.90000
   -1106.500	           0	    16.30000
   -1105.500	           0	    20.00000
   -1104.500	           0	    21.90000
   -1103.500	           0	    24.80000
   -1102.500	           0	    23.40000
   -1101.500	           0	    21.10000
   -1100.500	           0	    17.50000
   -1099.500	           0	    15.20000
   -1098.500	           0	    12.50000
   -1097.500	           0	     9.80000
   -1096.500	           0	    11.80000
   -1095.500	           0	    13.80000
   -1094.500	           0	    18.60000
   -1093.500	           0	    18.80000
   -1092.500	           0	    20.50000
   -1091.500	           0	    23.50000
   -1090.500	           0	    21.60000
   -1089.500	           0	    20.50000
   -1088.500	           0	    18.20000
   -1087.500	           0	    17.70000
   -1086.500	           0	     9.80000
   -1085.500	           0	     7.70000
   -1084.500	           0	    11.50000
   -1083.500	           0	    14.90000
   -1082.500	           0	    14.70000
   -1081.500	           0	    18.00000
   -1080.500	           0	    21.10000
   -1079.500	           0	    22.60000
   -1078.500	           0	    24.10000
   -1077.500	           0	    21.60000
   -1076.500	           0	    16.30000
   -1075.500	           0	    14.40000
   -1074.500	           0	    11.30000
   -1073.500	           0	    10.40000
   -1072.500	           0	    10.30000
   -1071.500	           0	    12.90000
   -1070.500	           0	    16.60000
   -1069.500	           0	    17.50000
   -1068.500	           0	    23.30000
   -1067.500	           0	    23.20000
   -1066.500	           0	    23.20000
   -1065.500	           0	    19.50000
   -1064.500	           0	    15.40000
   -1063.500	           0	    13.20000
   -1062.500	           0	    10.50000
   -1061.500	           0	     9.90000
   -1060.500	           0	    11.40000
   -1059.500	           0	    12.40000
   -1058.500	           0	    14.40000
   -1057.500	           0	    19.00000
   -1056.500	           0	    21.60000
   -1055.500	           0	    22.90000
   -1054.500	           0	    22.10000
   -1053.500	           0	    19.10000
   -1052.500	           0	    17.20000
   -1051.500	           0	    12.00000
   -1050.500	           0	    11.80000
   -1049.500	           0	    10.40000
   -1048.500	           0	    12.30000
   -1047.500	           0	    14.10000
   -1046.500	           0	    19.40000
   -1045.500	           0	    19.00000
   -1044.500	           0	    21.40000
   -1043.500	           0	    24.20000
   -1042.500	           0	    22.50000
   -1041.500	           0	    20.60000
   -1040.500	           0	    16.90000
   -1039.500	           0	    13.50000
   -1038.500	           0	    10.80000
   -1037.500	           0	     8.60000
   -1036.500	           0	    12.00000
   -1035.500	           0	    14.90000
   -1034.500	           0	    16.40000
   -1033.500	           0	    19.70000
   -1032.500	           0	    21.00000
   -1031.500	           0	    21.60000
   -1030.500	           0	    22.90000
   -1029.500	           0	    18.80000
   -1028.500	           0	    16.60000
   -1027.500	           0	    12.10000
   -1026.500	           0	    10.40000
   -1025.500	           0	     9.20000
   -1024.500	           0	    13.40000
   -1023.500	           0	    13.90000
   -1022.500	           0	    15.10000
