% Tokyo, Japan (Katsuura), Station ID 47674001
%T	VER	NOAA NCDC GHCN v2 adjusted mean temp
%months since 1960-01-01	unitless	Celsius_scale
    -439.500	           0	    17.50000
    -438.500	           0	    20.60000
    -437.500	           0	    23.40000
    -436.500	           0	    26.40000
    -435.500	           0	    24.50000
    -434.500	           0	    18.90000
    -433.500	           0	    14.70000
    -432.500	           0	     8.90000
    -431.500	           0	     5.90000
    -430.500	           0	     6.80000
    -429.500	           0	     6.70000
    -428.500	           0	    15.70000
    -427.500	           0	    17.00000
    -426.500	           0	    19.90000
    -425.500	           0	    24.70000
    -424.500	           0	    26.10000
    -423.500	           0	    22.90000
    -422.500	           0	    17.60000
    -421.500	           0	    12.80000
    -420.500	           0	     8.20000
    -419.500	           0	     5.80000
    -418.500	           0	     4.30000
    -417.500	           0	     7.90000
    -416.500	           0	    12.70000
    -415.500	           0	    16.40000
    -414.500	           0	    20.10000
    -413.500	           0	    22.80000
    -412.500	           0	    25.30000
    -411.500	           0	    23.60000
    -410.500	           0	    18.30000
    -409.500	           0	    14.00000
    -408.500	           0	    10.10000
    -407.500	           0	     6.00000
    -406.500	           0	     7.00000
    -405.500	           0	     7.80000
    -404.500	           0	    12.10000
    -403.500	           0	    16.90000
    -402.500	           0	    18.90000
    -401.500	           0	    23.30000
    -400.500	           0	    25.50000
    -399.500	           0	    23.80000
    -398.500	           0	    16.90000
    -397.500	           0	    12.10000
    -396.500	           0	     7.00000
    -395.500	           0	     5.80000
    -394.500	           0	     4.60000
    -393.500	           0	     8.00000
    -392.500	           0	    13.80000
    -391.500	           0	    17.00000
    -390.500	           0	    19.60000
    -389.500	           0	    23.30000
    -388.500	           0	    25.90000
    -387.500	           0	    22.20000
    -386.500	           0	    18.20000
    -385.500	           0	    13.60000
    -384.500	           0	     9.00000
    -383.500	           0	     6.50000
    -382.500	           0	     5.90000
    -381.500	           0	     8.30000
    -380.500	           0	    13.30000
    -379.500	           0	    17.60000
    -378.500	           0	    20.40000
    -377.500	           0	    23.00000
    -376.500	           0	    24.60000
    -375.500	           0	    24.60000
    -374.500	           0	    18.20000
    -373.500	           0	    13.90000
    -372.500	           0	     7.90000
    -371.500	           0	     5.30000
    -370.500	           0	     5.40000
    -369.500	           0	     8.40000
    -368.500	           0	    13.00000
    -367.500	           0	    16.00000
    -366.500	           0	    19.70000
    -365.500	           0	    24.80000
    -364.500	           0	    26.10000
    -363.500	           0	    21.50000
    -362.500	           0	    17.90000
    -361.500	           0	    13.20000
    -360.500	           0	    10.60000
    -359.500	           0	     5.80000
    -358.500	           0	     6.80000
    -357.500	           0	    10.20000
    -356.500	           0	    14.10000
    -355.500	           0	    17.70000
    -354.500	           0	    21.10000
    -353.500	           0	    25.90000
    -352.500	           0	    26.80000
    -351.500	           0	    22.60000
    -350.500	           0	    18.50000
    -349.500	           0	    12.90000
    -348.500	           0	     8.00000
    -347.500	           0	     5.90000
    -346.500	           0	     5.10000
    -345.500	           0	     9.70000
    -344.500	           0	    12.60000
    -343.500	           0	    16.00000
    -342.500	           0	    20.60000
    -341.500	           0	    22.00000
    -340.500	           0	    26.10000
    -339.500	           0	    23.40000
    -338.500	           0	    18.00000
    -337.500	           0	    13.80000
    -336.500	           0	     9.90000
    -335.500	           0	     8.40000
    -334.500	           0	     6.00000
    -333.500	           0	     8.50000
    -332.500	           0	    13.00000
    -331.500	           0	    17.20000
    -330.500	           0	    20.30000
    -329.500	           0	    24.10000
    -328.500	           0	    26.00000
    -327.500	           0	    22.50000
    -326.500	           0	    17.90000
    -325.500	           0	    13.70000
    -324.500	           0	     8.40000
    -323.500	           0	     5.70000
    -322.500	           0	     5.90000
    -321.500	           0	     8.00000
    -320.500	           0	    13.20000
    -319.500	           0	    17.60000
    -318.500	           0	    21.50000
    -317.500	           0	    25.50000
    -316.500	           0	    27.50000
    -315.500	           0	    23.60000
    -314.500	           0	    18.40000
    -313.500	           0	    13.70000
    -312.500	           0	     8.80000
    -311.500	           0	     4.80000
    -310.500	           0	     5.80000
    -309.500	           0	     7.40000
    -308.500	           0	    12.40000
    -307.500	           0	    17.00000
    -306.500	           0	    21.00000
    -305.500	           0	    23.50000
    -304.500	           0	    25.80000
    -303.500	           0	    22.60000
    -302.500	           0	    16.30000
    -301.500	           0	    12.90000
    -300.500	           0	     8.70000
    -299.500	           0	     6.60000
    -298.500	           0	     7.20000
